|Cont|DEBIT initial|CREDIT initial|DEBIT |CREDIT|
|1012|0.00|220000.00|0.00|0.00|
|1061|0.00|5000.00|0.00|0.00|
|1068|0.00|100000.00|0.00|0.00|
|117|0.00|60000.00|0.00|25000.00|
|121|0.00|30000.00|30000.00|0.00|
|121|596710.00|728000.00|93851.00|119000.00|
|129|5000.00|5000.00|0.00|0.00|
|208|3600.00|0.00|0.00|0.00|
|212|180000.00|0.00|0.00|0.00|
|2133|30000.00|0.00|0.00|0.00|
|214|4800.00|0.00|0.00|0.00|
|261|250000.00|0.00|0.00|0.00|
|2808|0.00|2900.00|0.00|100.00|
|2812|0.00|33000.00|0.00|300.00|
|2813|0.00|12500.00|0.00|5500.00|
|2814|0.00|300.00|0.00|100.00|
|2961|0.00|50000.00|0.00|0.00|
|301|37500.00|30000.00|7500.00|12000.00|
|303|0.00|0.00|2500.00|2500.00|
|345|15000.00|15000.00|15000.00|15000.00|
|371|15000.00|15000.00|350000.00|310000.00|
|4011|0.00|0.00|470700.00|917205.00|
|404|0.00|28200.00|0.00|0.00|
|4091|12000.00|0.00|0.00|12000.00|
|4092|16000.00|0.00|0.00|16000.00|
|4111|0.00|0.00|1020800.00|450000.00|
|4112|18000.00|0.00|0.00|10000.00|
|421|0.00|0.00|51458.00|55000.00|
|425|0.00|0.00|1000.00|1000.00|
|4315|0.00|0.00|21880.00|24064.00|
|4316|0.00|0.00|1750.00|1925.00|
|436|0.00|0.00|113.00|113.00|
|441|0.00|0.00|9500.00|9500.00|
|4423|0.00|0.00|61142.00|70300.00|
|4426|0.00|0.00|13072.00|13072.00|
|4427|0.00|0.00|22230.00|22230.00|
|444|0.00|0.00|6080.00|6688.00|
|447|0.00|0.00|380.00|418.00|
|471|0.00|0.00|5500.00|2300.00|
|508|0.00|0.00|12000.00|0.00|
|5121|0.00|0.00|840401.00|576252.00|
|5124|0.00|0.00|50000.00|0.00|
|5191|0.00|0.00|0.00|300000.00|
|5311|0.00|0.00|162000.00|120000.00|
|581|0.00|0.00|13000.00|13000.00|
|601|0.00|0.00|12000.00|12000.00|
|6022|0.00|0.00|2000.00|2000.00|
|603|0.00|0.00|2500.00|2500.00|
|604|0.00|0.00|1000.00|1000.00|
|6051|0.00|0.00|300.00|300.00|
|6052|0.00|0.00|500.00|500.00|
|607|0.00|0.00|32000.00|32000.00|
|611|0.00|0.00|6000.00|6000.00|
|612|0.00|0.00|3000.00|3000.00|
|613|0.00|0.00|3000.00|3000.00|
|623|0.00|0.00|2500.00|2500.00|
|626|0.00|0.00|1000.00|1000.00|
|627|0.00|0.00|1400.00|1400.00|
|628|0.00|0.00|9000.00|9000.00|
|635|0.00|0.00|38.00|38.00|
|641|0.00|0.00|10000.00|10000.00|
|636|0.00|0.00|113.00|113.00|
|6581|0.00|0.00|3000.00|3000.00|
|6584|0.00|0.00|2000.00|2000.00|
|6588|0.00|0.00|0.00|0.00|
|6651|0.00|0.00|1500.00|1500.00|
|6811|0.00|0.00|1000.00|1000.00|
|691|10.00|10.00|0.00|0.00|
|7015|0.00|0.00|22000.00|22000.00|
|704|0.00|0.00|50000.00|50000.00|
|707|0.00|0.00|45000.00|45000.00|
|711|0.00|0.00|15000.00|15000.00|
|7588|0.00|0.00|1200.00|1200.00|
|761|0.00|0.00|0.00|0.00|
|7651|0.00|0.00|0.00|0.00|
|766|0.00|0.00|800.00|800.00|
