cont|denumire|tip
101|CAPITAL SOCIAL|P
1011|CAPITAL SUBSCRIS NEVARSAT|P
1012|CAPITAL SUBSCRIS VARSAT|P
1015|PATRIMONIUL REGIEI|P
1016|PATRIMONIUL PUBLIC|P
1017|PATRIMONIUL PRIVAT|P
1018|PATRIMONIUL INSTITUTELOR DE CERCETARE-DEZVOLTARE|P
103|ALTE ELEMENTE DE CAPITALURI PROPRII|B
1031|BENEFICII ALE ANGAJATILOR SUB FORMA DE CAPITALURI PROPRII|P
1033|DIFERENTE DE CURS PT. INVESTITIA INTR-O ENTITITATE STRAINA|B
1038|ALTE ELEMENTE DE CAPITALURI PROPRII|B
104|PRIME DE CAPITAL|P
1041|PRIME DE EMISIUNE|P
1042|PRIME DE FUZIUNE/DIVIZARE|P
1043|PRIME DE APORT|P
1044|PRIME DE CONVERSIE A OBLIGATIUNILOR IN ACTIUNI|P
105|REZERVE  DIN REEVALUARE|P
106|REZERVE|P
1061|REZERVE LEGALE|P
1063|REZERVE STATUTARE SAU CONTRACTUALE|P
1068|ALTE REZERVE|P
107|DIFERENTE DE CURS VALUTAR DIN CONVERSIE|B
108|INTERESE CARE NU CONTROLEAZA|B
1081|INTERESE CARE NU CONTROLEAZA REZULT. EXERCITIULUI FINANCIAR|B
1082|INTERESE CARE NU CONTROLEAZA - ALTE CAPITALURI PROPRII|B
109|ACTIUNI PROPRII|A
1091|ACTIUNI PROPRII DETINUTE PE TERMEN SCURT|A
1092|ACTIUNI PROPRII DETINUTE PE TERMEN LUNG|A
1095|ACTIUNI DETINUTE DE SOCIETATEA ABSORBITA LA CEA ABSORBANTA|A
117|REZULTATUL REPORTAT|B
1171|REZULTATUL REPORTAT - PROFITUL NEREP./ PIREDERE NEACOP.|B
1172|REZULTATUL REPORTAT DIN ADOPTAREA IAS|B
1173|REZULTATUL REPORTAT DIN MODIFICARILE POLITICILOR COTABILE|B
1174|REZULTATUL REPORTAT DIN CORECTAREA ERORILOR CONTAB.|B
1175|REZULTATUL REPORTAT DIN SURPLUSUL DIN REZERVE DIN REEVALUARE|P
1176|REZULTATUL REPORTAT PROVENIT DIN TRECEREA LA DIREC. IV|B
121|PROFIT SI PIERDERE|B
129|REPARTIZAREA PROFITULUI|A
141|CASTIGURI LEGATE DE INSTRUMENTELE DE CAPITALURI PROPRII|P
1411|CASTIGURI DIN VANZAREA INSTRUMENTELOR DE CAPITALURI PROPRII|P
1412|CASTIGURI DIN ANULAREA INSTRUMENTELOR DE CAPITALURI PROPRII|P
149|PIERDERI LEGATE DE OPERATII CU TITUL GRATUIT DE CAP. PROPRII|A
1491|PIERDERI DIN VANZAREA INSTRUMENTELOR DE CAPITALURI PROPRII|A
1495|"PIERDERI DIN REORGANIZARI| ANULAREA TITLURILOR DETINUTE"|A
1498|ALTE PIERDERI LEGATE DE INSTRUMENTELE DE CAPITALURI PROPRII|A
151|PROVIZIOANE|P
1511|PROVIZIOANE PENTRU LITIGII|P
1512|PROVIZIOANE PENTRU GARANTII ACORDATE CLIENTILOR|P
1513|PROVIZIOANE PENTRU DEZAFECTARE IMOBILIZARI CORPORALE|P
1514|PROVIZIOANE PENTRU RESTRUCTURARE|P
1515|PROVIZIOANE PENTRU PENSII SI OBLIGATII SIMILARE|P
1516|PROVIZIOANE PENTRU IMPOZITE|P
1517|PROVIZIOANE PENTRU TERMINAREA CONTRACTULUI DE MUNCA|P
1518|ALTE PROVIZIOANE|P
161|IMPR. DIN EMISIUNI DE OBLIGATIUNI|P
1614|IMPR. EXTERNE DIN EMISIUNI DE OBLIG. GARANTATE DE STAT|P
1615|IMPR. EXTERNE DIN EMISIUNI DE OBLIG. GARANTATE DE BANCI|P
1617|IMPR. INTERNE DIN EMISIUNI DE OBLIG. GARANTATE DE STAT|P
1618|ALTE IMPR. DIN EMISIUNI DE OBLIG.|P
162|CREDITE BANCARE PE TERMEN LUNG|P
1621|CREDITE BANCARE PE TERMEN LUNG|P
1622|CREDITE BANCARE PE TERMEN LUNG NERABURSATE|P
1623|CREDITE EXTERNE GUVERNAMENTALE|P
1624|CREDITE EXTERNE GARANTATE DE STAT|P
1625|CREDITE EXTERNE GARANTATE DE BANCI|P
1626|CREDITE DE LA TREZORERIA STATULUI|P
1627|CREDITE BANCARE INTERNE GARANTATE DE STAT|P
166|DATORII CE PRIVESC IMOBILIZARILE FINANCIARE|P
1661|DATORII FATA DE ENTITATILE AFILIATE|P
1663|DATORII FATA DE ENTITATILE ASOCIATE / CONTROLATE IN COMUN|P
167|ALTE IMPRUMUTURI SI DATORII ASIMILATE|P
168|DOBANZI AFERENTE IMPRUMUTURILOR SI DATORII ASIMILATE|P
1681|DOBANZI AFERENTE IMPRUMUTURILOR DIN OBLIGATIUNI|P
1682|DOBANZI AFERENTE CREDITELOR BANCARE TERMEN LUNG|P
1685|DOBANZI AFERENTE DATORIILOR FATA DE ENTITATILE AFILIATE|P
1686|DOBANZI AFERENTE DATORIILOR FATA DE ENTITATILE ASOCIATE|P
1687|DOBANZI AFERENTE ALTOR IMPRUMUTURI SI DATORII ASIMILATE|P
169|PRIME PRIVIND RAMBURSAREA OBLIGATIUNILOR SI A ALTOR DATORII|A
1691|PRIME PRIVIND RAMBURSAREA OBLIGATIUNILOR|A
1692|PRIME PRIVIND RAMBURSAREA ALTOR DATORII|A
201|CHELTUIELI DE CONSTITUIRE|A
203|CHELTUIELI DE DEZVOLTARE|A
205|"CONCESIUNI| BREVETE| LICENTE| MARCI COMERCIALE"|A
206|ACTIVE NECROP. DE EXPLORARE SI EVALUARE RESURSE MINERALE|A
207|FOND COMERCIAL|B
2071|FOND COMERCIAL POZITIV|A
2075|FOND COMERCIAL NEGATIV|P
208|ALTE IMOBILIZARI NECORPORALE|A
211|"TERENURI|  AMENAJARI DE TERENURI"|A
2111|TERENURI|A
2112|AMENAJARI DE TERENURI|A
212|CONSTRUCTII|A
213|INSTALATII TEHNICE SI MIJLOACE TRANSPORT|A
2131|"ECHIPAMENTE TEHNOLOGICE (MASINI|UTILAJE)"|A
2132|"APARATE SI INSTALATII DE MASURA| CONTROL SI REGLARE"|A
2133|MIJLOACE DE TRANSPORT|A
214|"MOBILIER| APARATURA BIROTICA| ALTE ACTIVE CORPORALE"|A
215|INVESTITII IMOBILIARE|A
216|ACTIVE CORPORALE DE EXPL. SI EVAL. A RESURSELOR MINERALE|A
217|ACTIVE BIOLOGICE PRODUCTIVE|A
223|"INSTALATII TEHNICE| MIJLOACE DE TRANSPORT IN CURS DE APROV."|A
224|"MOBILIER| APARATURA BIROTICA IN CURS DEAPROVIZIONARE"|A
227|ACTIVE BIOLOGICE PRODUCTIVE IN CURS DE APROVIZIONARE|A
231|IMOBILIZARI CORPORALE IN CURS DE EXECUTIE|A
235|INVESTITII IMOBILIARE IN CURS DE EXECUTIE|A
261|ACTIUNI DETINUTE LA ENTITATILE AFILIATE|A
262|ACTIUNI DETINUTE LA ENTITATI ASOCIATE|A
263|ACTIUNI DETINUTE LA ENTITATI CONTROLATE IN COMUN|A
264|TITLURI PUSE IN ECHIVALENTA|A
265|ALTE TITLURI IMOBILIZATE|A
266|CERTIFICATE VERZI AMANATE|A
267|CREANTE IMOBILIZATE|A
2671|SUME DATORATE DE ENTITATILE AFILIATE|A
2672|DOBANDA AF. SUMELOR DAT. DE ENTITATILE AFILIATE|A
2673|CREANTE FATA DE ENTITATILE ASOCIATE / CONTROLATE IN COMUN|A
2674|DOBANDA PT. CREANTE FATA DE ENTITATILE ASOCIATE|A
2675|IMPRUMUTURI ACORDATE TERM. LUNG.|A
2676|DOBANDA AFERENTA IMPRUMUTURILOR ACORDATE PE TERMEN LUNG|A
2677|OBLIGATIUNI ACHIZITIONATE EMISE DE TERTI|A
2678|ALTE CREANTE IMOBILIZATE|A
2679|DOBANZI AFERENTE ALTOR CREANTE IMOB.|A
269|VARSAMINTE DE EFECTUAT PT. IMOB. FINANCIARE|P
2691|VARSAMINTE DE EFECTUAT PT. ACTIUNILE DETINUTE LA ENT. AFIL.|P
2692|VARSAMINTE DE EFECTUAT PT. ACTIUNILE DETINUTE LA ENT. ASOC.|P
2693|VARSAMINTE PT. ACTIUNILE DETINUTE LA ENT.CONTROLATE IN COMUN|P
2695|VARSAMINTE DE EFECTUAT PENTRU ALTE IMOBILIZARI FINANCIARE|P
280|AMORT. PRIVIND  IMOBILIZARILE NECORPORALE|P
2801|AMORT. CHELTUIELILOR DE CONSTITUIRE|P
2803|AMORT. CHELTUIELILOR DE DEZVOLTARE|P
2805|"AMORT. CONCESIUNI| BREVETE| LICENTE| MARCI COMERCIALE"|P
2807|AMORT.  FONDULUI COMERCIAL|P
2808|AMORT. ALTOR  IMOB. NECORPORALE|P
281|AMORT. PRIVIND  IMOBILIZARILE CORPORALE|P
2811|AMORT. AMENAJARILOR DE TERENURI|P
2812|AMORT. CONSTRUCTIILOR|P
2813|"AMORT. INSTALATIILOR| MIJ. DE TRANSPORT"|P
2814|AMORT. ALTOR IMOBILIZARI CORPORALE|P
2815|AMORT. INVESTITIILOR IMOBILIARE|P
2816|AMORT. ACTIVELOR CORP. DE EXPL. SI EVAL. A RESURSELOR MINER.|P
2817|AMORT. ACTIVELOR BIOLOGICE PRODUCTIVE|P
290|AJUSTARI - DEPRECIEREA IMOBILIZARILOR NECORPORALE|P
2903|AJUSTARI - DEPRECIEREA CHELTUIELILOR DE DEZVOLTARE|P
2905|"AJUSTARI - DEPRECIEREA CONCESIUNILOR| BREVETELOR| LICENTE"|P
2906|AJUSTARI - DEPRECIEREA ACTIVELOR NECORPORALE DE EXPLORARE|P
2908|AJUSTARI - DEPRECIEREA ALTOR IMOBILIZARI NECORPORALE|P
291|AJUSTARI - DEPRECIEREA IMOBILIZARILOR CORPORALE|P
2911|AJUSTARI - DEPRECIEREA TERENURILOR SI AMENAJARILOR|P
2912|AJUSTARI - DEPRECIEREA CONSTRUCTIILOR|P
2913|"AJUSTARI - DEPRECIEREA INSTALATII TEHNICE|MIJ. TRANSP."|P
2914|AJUSTARI - DEPRECIEREA ALTOR IMOBILIZARI CORPORALE|P
2915|AJUSTARI - DEPRECIEREA INVESTI.IILOR IMOBILIARE|P
2916|AJUSTARI - DEPRECIEREA ACTIVELOR CORPORALE DE EXPLORARE|P
2917|AJUSTARI - DEPRECIEREA ACTIVELOR BIOLOGICE PRODUCTIVE|P
293|AJUSTARI - DEPRECIEREA IMOBILIZARILOR IN CURS DE EXEC.|P
2931|AJUSTARI - DEPR. IMOB. CORPORALE IN CURS DE EXECUTIE|P
2935|AJUSTARI - DEPR. INVESTITIILOR IMOBILIARE IN CURS DE EXEC.|P
296|AJUSTARI - PIERDEREA DE VALOARE A IMOBILIZARILOR FINANCIARE|P
2961|AJUSTARI - PIERDEREA DE VALOARE A ACTIUNILOR LA ENTIT. AFIL.|P
2962|AJUSTARI - PIERDEREA DE VALOARE A ACTIUNILOR LA ENTIT. ASOC.|P
2963|AJUSTARI - PIERDEREA DE VALOARE A ALTOR TITLURI IMOBILIZATE|P
2964|AJUSTARI - PIERDEREA DE VALOARE A SUMELOR DAT. DE ENTIT.AFIL|P
2965|AJUSTARI - PIERDEREA DE VALOARE A CREANTELOR - INT. DE PART.|P
2966|AJUSTARI - PIERDEREA DE VALOARE A A IMPRUM. PE TERMEN LUNG|P
2968|AJUSTARI - PIERDEREA DE VALOARE A ALTOR CREANTE IMOBILIZATE|P
301|MATERII PRIME|A
302|MATERIALE CONSUMABILE|A
3021|MATERIALE AUXILIARE|A
3022|COMBUSTIBILI|A
3023|MATERILAE PT. AMBALAT|A
3024|PIESE DE SCHIMB|A
3025|SEMINTE SI MATERIALE DE PLANTAT|A
3026|FURAJE|A
3028|ALTE MATERIALE CONSUMABILE|A
303|MAT. DE NATURA OB. DE INVENTAR|A
308|DIFERENTE DE PRET LA MATERII PRIME SI MATERIALE|B
321|MATERII PRIME IN CURS DE APROVIZIONARE|A
322|MATERIALE CONSUMABILE IN CURS DE APROVIZIONARE|A
323|MATERIALE DE NATURA OBIECTELOR DE INVENTAR IN CURS DE APROV.|A
326|ACTIVE BIOLOGICE DE NATURA STOCURILOR IN CURS DE APROVIZ.|A
327|MARFURI IN CURS DE APROVIZIONARE|A
328|AMBALAJE IN CURS DE APROVIZIONARE|A
331|PRODUSE IN CURS DE EXECUTIE|A
332|SERVICII IN CURS DE EXECUTIE|A
341|SEMIFABRICATE|A
345|PRODUSE FINITE|A
346|PRODUSE REZIDUALE|A
347|PRODUSE AGRICOLE|A
348|DIFERENTE DE PRET LA PRODUSE|B
351|MATERII SI MATERIALE LA TERTI|A
354|PRODUSE AFLATE LA TERTI|A
356|ACTIVE BIOLOGICE DE NATURA STOCURILOR AFLATE LA TERTI|A
357|MARFURI AFLATE LA TERTI|A
358|AMBALAJE AFLATE LA TERTI|A
361|ACTIVE BIOLOGICE DE NATURA STOCURILOR|A
368|DIFERENTE DE PRET LA ACTIVE BIOLOGICE DE NATURA STOCURILOR|B
371|MARFURI|A
378|DIFERENTE DE PRET LA MARFURI|B
381|AMBALAJE|A
388|DIFERENTE DE PRET LA AMBALAJE|B
391|AJUSTARI - DEPRECIEREA MATERIILOR PRIME|P
392|AJUSTARI - DEPRECIEREA MATERIALELOR|P
3921|AJUSTARI - DEPRECIEREA MATERIALELOR CONSUMABILE|P
3922|AJUSTARI - DEPRECIEREA OBIECTELOR DE INVENTAR|P
393|AJUSTARI - DEPRECIEREA PRODUCTIEI IN CURS DE EXECUTIE|P
394|AJUSTARI - DEPRECIEREA PRODUSELOR|P
3941|AJUSTARI - DEPRECIEREA SEMIFABRICATELOR|P
3945|AJUSTARI - DEPRECIEREA PRODUSELOR FINITE|P
3946|AJUSTARI - DEPRECIEREA PRODUSELOR REZIDUALE|P
3947|AJUSTARI - DEPRECIEREA PRODUSELOR AGRICOLE|P
395|AJUSTARI - DEPRECIEREA STOCURILOR AFLATE LA TERTI|P
3951|AJUSTARI - DEPRECIEREA MATERIALELOR AFLATE LA TERTI|P
3952|AJUSTARI - DEPRECIEREA SEMIFABRICATELOR AFLATE LA TERTI|P
3953|AJUSTARI - DEPRECIEREA PRODUSELOR FINITE AFLATE LA TERTI|P
3954|AJUSTARI - DEPRECIEREA PRODUSELOR REZID. AFLATE LA TERTI|P
3955|AJUSTARI PENTRU DEPRECIEREA PRODUSELOR AGRICOLE AFLATE|P
3956|AJUSTARI - DEPRECIEREA ACTIVELOR BIOLOGICE AFLATE LA TERTI|P
3957|AJUSTARI - DEPRECIEREA MARFURILOR AFLATE LA TERTI|P
3958|AJUSTARI - DEPRECIEREA AMBALAJELOR AFLATE LA TERTI|P
396|AJUSTARI - DEPRECIEREA ACTIVELOR BIOLOGICE|P
397|AJUSTARI - DEPRECIEREA MARFURILOR|P
398|AJUSTARI - DEPRECIEREA AMBALAJELOR|P
401|FURNIZORI|P
401.00001|SDFSDF|P
403|EFECTE DE PLATIT|P
404|FURNIZORI DE IMOBILIZARI|P
405|EFECTE DE PLATIT PENTRU IMOBILIZARI|P
408|FURNIZORI - FACTURI NESOSITE|P
409|FURNIZORI - DEBITORI|A
4091|FURNIZORI - DEBITORI PT. CUMPARARI DE BUNURI (STOCURI)|A
4092|FURNIZORI - DEBITORI PT. PRESTARI DE SERVICII|A
