Account|Name|AccountType
1|Conturi de capitaluri, provizioane, împrumuturi şi datorii asimilate|Nespecificat
10|Capital şi rezerve|Nespecificat
101|Capital|Nespecificat
1011|Capital subscris nevărsat|Pasiv
1012|Capital subscris vărsat|Pasiv
1015|Patrimoniul regiei|Pasiv
1016|Patrimoniul public|Pasiv
1017|Patrimoniul privat|Pasiv
1018|Patrimoniul institutelor naţionale de cercetare - dezvoltare|Pasiv
103|Alte elemente de capitaluri proprii|Nespecificat
1031|Beneficii acordate angajaţilor sub forma instrumentelor de capitaluri proprii|Pasiv
1033|Diferenţe de curs valutar în relaţie cu investiţia netă într-o entitate străină|Bifunctional
1038|Diferenţe din modificarea valorii juste a activelor financiare disponibile în vederea vânzării şi alte elemente de capitaluri proprii|Bifunctional
104|Prime de capital|Nespecificat
1041|Prime de emisiune|Pasiv
1042|Prime de fuziune/divizare|Pasiv
1043|Prime de aport|Pasiv
1044|Prime de conversie a obligaţiunilor în acţiuni|Pasiv
105|Rezerve din reevaluare|Pasiv
106|Rezerve|Nespecificat
1061|Rezerve legale|Pasiv
1063|Rezerve statutare sau contractuale|Pasiv
1068|Alte rezerve|Pasiv
107|Diferenţe de curs valutar din conversie|Bifunctional
108|Interese care nu controlează|Nespecificat
1081|Interese care nu controlează - rezultatul exerciţiului financiar|Bifunctional
1082|Interese care nu controlează - alte capitaluri proprii|Bifunctional
109|Acţiuni proprii|Nespecificat
1091|Acţiuni proprii deţinute pe termen scurt|Activ
1092|Acţiuni proprii deţinute pe termen lung|Activ
1095|Acţiuni proprii reprezentând titluri deţinute de societatea absorbită la societatea absorbantă|Activ
11|Rezultatul reportat|Nespecificat
117|Rezultatul reportat|Nespecificat
1171|Rezultatul reportat reprezentând profitul nerepartizat sau pierderea neacoperită|Bifunctional
1172|Rezultatul reportat provenit din adoptarea pentru prima dată a IAS, mai puţin IAS 29|Bifunctional
1173|Rezultatul reportat provenit din modificările politicilor contabile|Bifunctional
1174|Rezultatul reportat provenit din corectarea erorilor contabile|Bifunctional
1175|Rezultatul reportat reprezentând surplusul realizat din rezerve din reevaluare|Pasiv
